index,origin,destination,pt,car
0,zone_1,zone_278,0.0,33.34
1,zone_1,zone_298,0.0,38.72
2,zone_1,zone_352,0.0,22.77
3,zone_1,zone_513,0.0,19.06
4,zone_1,zone_565,0.0,31.61
5,zone_1,zone_658,0.0,37.22
6,zone_1,zone_71,0.0,30.58
8,zone_10,zone_20,0.0,0.0
9,zone_10,zone_34,0.0,0.0
10,zone_10,zone_41,33.52,0.0
11,zone_10,zone_49,35.67,0.0
12,zone_100,zone_154,23.01,0.0
13,zone_100,zone_236,0.0,0.0
14,zone_100,zone_24,37.76,0.0
15,zone_100,zone_34,12.14,0.0
16,zone_100,zone_391,17.49,0.0
17,zone_100,zone_396,0.0,0.0
18,zone_100,zone_421,0.0,15.0
19,zone_100,zone_5,78.18,0.0
20,zone_100,zone_50,0.0,0.0
21,zone_100,zone_650,36.77,0.0
22,zone_100,zone_71,0.0,45.8
23,zone_100,zone_75,85.39,0.0
24,zone_100,zone_92,0.0,0.0
25,zone_100,zone_96,0.0,20.06
389,zone_101,zone_211,0.0,21.54
390,zone_101,zone_213,0.0,34.38
391,zone_101,zone_215,0.0,13.94
392,zone_101,zone_226,0.0,0.0
393,zone_101,zone_23,69.39,0.0
394,zone_101,zone_237,0.0,0.0
395,zone_101,zone_243,0.0,23.88
396,zone_101,zone_29,0.0,23.93
397,zone_101,zone_293,14.56,0.0
398,zone_101,zone_30,0.0,0.0
399,zone_101,zone_307,0.0,33.17
400,zone_101,zone_347,93.91,0.0
401,zone_101,zone_393,0.0,21.48
402,zone_101,zone_396,0.0,31.98
403,zone_101,zone_41,0.0,0.0
404,zone_101,zone_414,0.0,24.34
405,zone_101,zone_43,0.0,0.0
406,zone_101,zone_49,0.0,0.0
407,zone_101,zone_494,0.0,44.84
408,zone_101,zone_529,0.0,9.08
409,zone_101,zone_726,0.0,23.86
410,zone_101,zone_79,0.0,90.82
411,zone_101,zone_8,0.0,32.17
413,zone_101,zone_88,0.0,0.0
415,zone_101,zone_97,0.0,0.0
685,zone_103,zone_100,0.0,0.0
686,zone_103,zone_101,0.0,0.0
687,zone_103,zone_105,0.0,0.0
688,zone_103,zone_106,0.0,0.0
689,zone_103,zone_12,61.45,0.0
691,zone_103,zone_183,0.0,36.77
692,zone_103,zone_190,0.0,29.73
693,zone_103,zone_191,32.54,0.0
694,zone_103,zone_20,69.75,0.0
695,zone_103,zone_22,34.9,0.0
696,zone_103,zone_226,0.0,0.0
697,zone_103,zone_249,0.0,23.01
698,zone_103,zone_35,0.0,0.0
699,zone_103,zone_38,0.0,0.0
700,zone_103,zone_398,0.0,0.0
701,zone_103,zone_414,22.09,0.0
702,zone_103,zone_420,40.79,0.0
703,zone_103,zone_433,0.0,28.56
704,zone_103,zone_48,17.49,0.0
705,zone_103,zone_49,0.0,0.0
706,zone_103,zone_622,28.66,0.0
707,zone_103,zone_7,27.38,0.0
708,zone_103,zone_71,66.92,0.0
709,zone_103,zone_711,28.9,0.0
710,zone_103,zone_73,36.38,0.0
712,zone_103,zone_90,0.0,17.15
713,zone_103,zone_97,0.0,13.16
898,zone_104,zone_101,0.0,12.14
899,zone_104,zone_103,0.0,0.0
900,zone_104,zone_165,93.28,0.0
901,zone_104,zone_202,0.0,33.68
902,zone_104,zone_290,101.47,0.0
903,zone_104,zone_292,32.54,0.0
904,zone_104,zone_378,0.0,38.17
905,zone_104,zone_396,0.0,0.0
906,zone_104,zone_398,0.0,0.0
907,zone_104,zone_416,23.09,0.0
908,zone_104,zone_747,0.0,28.66
1001,zone_105,zone_103,0.0,0.0
1002,zone_105,zone_106,0.0,0.0
1003,zone_105,zone_439,0.0,118.62
1004,zone_105,zone_684,70.26,0.0
1233,zone_106,zone_101,0.0,41.52
1234,zone_106,zone_103,0.0,0.0
1235,zone_106,zone_105,0.0,0.0
1236,zone_106,zone_137,24.89,0.0
1237,zone_106,zone_154,28.66,0.0
1239,zone_106,zone_181,40.47,0.0
1240,zone_106,zone_201,43.6,0.0
1241,zone_106,zone_206,0.0,27.93
1242,zone_106,zone_219,30.31,0.0
1243,zone_106,zone_225,65.59,0.0
1244,zone_106,zone_226,0.0,0.0
1245,zone_106,zone_285,0.0,49.21
1246,zone_106,zone_301,19.76,0.0
1247,zone_106,zone_358,0.0,21.01
1248,zone_106,zone_364,0.0,21.63
1249,zone_106,zone_389,0.0,19.85
1250,zone_106,zone_395,0.0,0.0
1251,zone_106,zone_407,37.22,0.0
1252,zone_106,zone_41,22.91,16.62
1253,zone_106,zone_441,34.72,0.0
1254,zone_106,zone_455,0.0,70.05
1255,zone_106,zone_49,0.0,27.02
1256,zone_106,zone_523,0.0,19.86
1257,zone_106,zone_580,40.18,0.0
1258,zone_106,zone_586,0.0,20.08
1259,zone_106,zone_612,20.13,0.0
1260,zone_106,zone_651,0.0,16.98
1261,zone_106,zone_695,0.0,23.86
1262,zone_106,zone_726,0.0,12.79
1263,zone_106,zone_768,0.0,28.32
1266,zone_106,zone_97,0.0,0.0
1595,zone_107,zone_1,50.59,0.0
1596,zone_107,zone_143,0.0,29.54
1597,zone_107,zone_188,50.12,0.0
1598,zone_107,zone_194,31.99,0.0
1599,zone_107,zone_21,51.97,0.0
1600,zone_107,zone_22,172.56,0.0
1601,zone_107,zone_29,43.38,0.0
1602,zone_107,zone_34,103.95,0.0
1603,zone_107,zone_433,0.0,34.9
1604,zone_107,zone_45,27.4,0.0
1605,zone_107,zone_50,12.55,0.0
1606,zone_107,zone_543,0.0,37.51
1607,zone_107,zone_633,32.66,0.0
1608,zone_107,zone_678,0.0,29.48
1609,zone_107,zone_682,0.0,12.35
1610,zone_107,zone_716,0.0,32.66
1611,zone_107,zone_724,51.22,0.0
1612,zone_107,zone_730,0.0,11.94
1613,zone_107,zone_741,0.0,21.48
1614,zone_107,zone_75,48.49,0.0
1615,zone_107,zone_8,46.68,0.0
1616,zone_107,zone_9,50.15,0.0
1617,zone_107,zone_90,39.31,0.0
2126,zone_108,zone_109,0.0,0.0
2127,zone_108,zone_110,0.0,35.82
2128,zone_108,zone_129,34.38,0.0
2129,zone_108,zone_146,22.38,0.0
2130,zone_108,zone_162,17.05,0.0
2131,zone_108,zone_1678,0.0,29.57
2132,zone_108,zone_178,15.35,0.0
2133,zone_108,zone_190,0.0,28.93
2134,zone_108,zone_20,64.02,0.0
2135,zone_108,zone_204,0.0,37.54
2136,zone_108,zone_210,39.39,0.0
2137,zone_108,zone_279,29.99,0.0
2138,zone_108,zone_29,0.0,15.17
2139,zone_108,zone_311,66.3,0.0
2140,zone_108,zone_34,58.24,0.0
2141,zone_108,zone_348,0.0,23.06
2142,zone_108,zone_352,20.84,0.0
2143,zone_108,zone_36,42.48,0.0
2144,zone_108,zone_389,15.71,0.0
2145,zone_108,zone_39,29.55,0.0
2146,zone_108,zone_477,0.0,24.57
2147,zone_108,zone_52,23.61,0.0
2148,zone_108,zone_544,0.0,12.97
2149,zone_108,zone_58,26.16,0.0
2150,zone_108,zone_602,0.0,36.81
2151,zone_108,zone_609,0.0,40.23
2152,zone_108,zone_617,79.14,0.0
2153,zone_108,zone_661,25.59,0.0
2154,zone_108,zone_677,0.0,22.3
2155,zone_108,zone_680,32.69,0.0
2156,zone_108,zone_684,50.15,0.0
2157,zone_108,zone_691,0.0,41.91
2158,zone_108,zone_707,24.31,0.0
2159,zone_108,zone_711,0.0,32.79
2160,zone_108,zone_715,0.0,22.57
2161,zone_108,zone_716,0.0,0.0
2162,zone_108,zone_720,0.0,21.48
2163,zone_108,zone_725,0.0,22.38
2164,zone_108,zone_734,23.32,0.0
2165,zone_108,zone_79,32.15,0.0
2166,zone_108,zone_819,0.0,14.58
2167,zone_108,zone_9,24.31,0.0
2533,zone_109,zone_1,130.41,0.0
2534,zone_109,zone_10,91.59,0.0
2535,zone_109,zone_108,0.0,0.0
2536,zone_109,zone_110,0.0,0.0
2537,zone_109,zone_111,0.0,0.0
2538,zone_109,zone_112,0.0,0.0
2539,zone_109,zone_113,0.0,43.51
2540,zone_109,zone_114,0.0,69.93
2541,zone_109,zone_115,0.0,15.14
2542,zone_109,zone_116,0.0,33.27
2543,zone_109,zone_117,0.0,0.0
2544,zone_109,zone_122,18.33,0.0
2545,zone_109,zone_127,14.5,0.0
2549,zone_109,zone_14,21.99,0.0
2551,zone_109,zone_15,38.05,0.0
2552,zone_109,zone_154,41.21,0.0
2554,zone_109,zone_162,75.41,0.0
2555,zone_109,zone_1677,0.0,23.31
2556,zone_109,zone_172,24.31,32.81
2557,zone_109,zone_184,28.07,0.0
2558,zone_109,zone_194,93.52,0.0
2559,zone_109,zone_20,42.85,0.0
2560,zone_109,zone_23,59.16,0.0
2561,zone_109,zone_30,15.69,0.0
2562,zone_109,zone_311,22.38,0.0
2563,zone_109,zone_34,36.37,0.0
2564,zone_109,zone_433,23.42,0.0
2565,zone_109,zone_435,0.0,31.8
2566,zone_109,zone_44,34.2,0.0
2567,zone_109,zone_501,0.0,50.13
2568,zone_109,zone_53,45.61,0.0
2569,zone_109,zone_59,0.0,31.89
2570,zone_109,zone_633,18.27,0.0
2571,zone_109,zone_649,17.48,0.0
2572,zone_109,zone_655,0.0,15.14
2573,zone_109,zone_661,56.09,0.0
2574,zone_109,zone_684,0.0,0.0
2575,zone_109,zone_690,0.0,39.23
2576,zone_109,zone_691,32.03,0.0
2577,zone_109,zone_696,0.0,45.21
2578,zone_109,zone_70,39.23,0.0
2579,zone_109,zone_702,0.0,62.6
2580,zone_109,zone_710,0.0,41.21
2581,zone_109,zone_712,0.0,31.27
2582,zone_109,zone_719,38.87,0.0
2583,zone_109,zone_722,33.07,0.0
2584,zone_109,zone_724,0.0,33.22
2585,zone_109,zone_725,0.0,21.08
2586,zone_109,zone_727,0.0,28.31
2587,zone_109,zone_733,0.0,21.36
2588,zone_109,zone_79,34.03,0.0
2589,zone_109,zone_8,0.0,32.34
2590,zone_109,zone_80,0.0,72.37
2591,zone_109,zone_85,59.07,0.0
2592,zone_109,zone_9,29.24,0.0
2593,zone_109,zone_96,54.35,0.0
2887,zone_11,zone_12,0.0,0.0
2888,zone_11,zone_20,0.0,47.4
2889,zone_11,zone_310,0.0,14.91
2890,zone_11,zone_458,0.0,53.47
2891,zone_11,zone_472,0.0,23.15
2892,zone_11,zone_600,0.0,28.54
2893,zone_11,zone_747,35.52,0.0
2895,zone_110,zone_1,49.39,0.0
2896,zone_110,zone_100,17.43,0.0
2898,zone_110,zone_108,0.0,68.47
2899,zone_110,zone_111,23.74,0.0
2900,zone_110,zone_112,0.0,21.29
2901,zone_110,zone_113,0.0,18.56
2902,zone_110,zone_116,0.0,87.22
2903,zone_110,zone_121,40.9,20.62
2905,zone_110,zone_154,31.18,0.0
2906,zone_110,zone_169,29.55,0.0
2907,zone_110,zone_177,58.05,0.0
2908,zone_110,zone_181,31.76,0.0
2910,zone_110,zone_188,25.39,0.0
2911,zone_110,zone_19,48.6,0.0
2912,zone_110,zone_20,30.53,0.0
2913,zone_110,zone_204,47.13,0.0
2914,zone_110,zone_206,55.57,0.0
2915,zone_110,zone_22,75.76,0.0
2916,zone_110,zone_24,31.59,0.0
2917,zone_110,zone_252,28.48,0.0
2918,zone_110,zone_30,29.04,0.0
2919,zone_110,zone_305,0.0,21.08
2920,zone_110,zone_31,26.17,0.0
2921,zone_110,zone_310,43.6,0.0
2922,zone_110,zone_32,20.26,0.0
2923,zone_110,zone_33,23.82,0.0
2924,zone_110,zone_34,47.55,0.0
2925,zone_110,zone_38,21.48,0.0
2926,zone_110,zone_397,0.0,26.16
2927,zone_110,zone_398,24.24,0.0
2928,zone_110,zone_399,21.41,0.0
2929,zone_110,zone_400,16.92,0.0
2930,zone_110,zone_439,51.73,0.0
2931,zone_110,zone_44,42.69,0.0
2932,zone_110,zone_48,27.97,0.0
2933,zone_110,zone_49,29.69,0.0
2934,zone_110,zone_498,0.0,73.41
2935,zone_110,zone_50,70.25,0.0
2936,zone_110,zone_54,16.55,0.0
2937,zone_110,zone_540,0.0,29.37
2938,zone_110,zone_546,42.89,0.0
2939,zone_110,zone_55,83.2,0.0
2940,zone_110,zone_584,33.37,0.0
2941,zone_110,zone_60,36.77,0.0
2942,zone_110,zone_600,0.0,34.04
2943,zone_110,zone_617,36.77,0.0
2944,zone_110,zone_629,43.01,0.0
2945,zone_110,zone_648,0.0,32.03
2946,zone_110,zone_656,21.29,0.0
2947,zone_110,zone_658,20.55,0.0
2948,zone_110,zone_659,57.03,0.0
2949,zone_110,zone_681,0.0,19.58
2950,zone_110,zone_684,0.0,0.0
2951,zone_110,zone_690,0.0,25.62
2952,zone_110,zone_691,34.3,29.44
2953,zone_110,zone_692,0.0,17.92
2954,zone_110,zone_696,43.01,14.8
2955,zone_110,zone_699,72.26,19.56
2956,zone_110,zone_71,25.82,0.0
2957,zone_110,zone_714,0.0,28.07
2958,zone_110,zone_716,0.0,34.51
2959,zone_110,zone_718,0.0,30.29
2960,zone_110,zone_719,0.0,69.92
2961,zone_110,zone_722,17.63,0.0
2962,zone_110,zone_723,27.95,41.47
2963,zone_110,zone_724,0.0,56.47
2964,zone_110,zone_725,0.0,17.32
2965,zone_110,zone_732,22.83,0.0
2966,zone_110,zone_736,0.0,20.8
2967,zone_110,zone_74,28.93,0.0
2968,zone_110,zone_767,0.0,54.47
2969,zone_110,zone_77,25.51,30.52
2970,zone_110,zone_80,30.93,0.0
2972,zone_110,zone_86,22.29,0.0
2973,zone_110,zone_9,32.16,0.0
3153,zone_111,zone_100,71.25,0.0
3154,zone_111,zone_109,0.0,19.78
3155,zone_111,zone_110,0.0,0.0
3156,zone_111,zone_114,0.0,37.24
3157,zone_111,zone_122,0.0,51.64
3158,zone_111,zone_125,0.0,48.64
3159,zone_111,zone_144,0.0,42.17
3160,zone_111,zone_21,32.89,0.0
3161,zone_111,zone_224,28.54,0.0
3162,zone_111,zone_23,25.42,0.0
3163,zone_111,zone_318,31.58,0.0
3164,zone_111,zone_374,0.0,27.87
3165,zone_111,zone_41,0.0,30.17
3166,zone_111,zone_44,47.92,0.0
3167,zone_111,zone_572,27.12,0.0
3168,zone_111,zone_599,0.0,41.22
3169,zone_111,zone_601,45.55,0.0
3170,zone_111,zone_609,0.0,21.29
3171,zone_111,zone_615,43.72,0.0
3172,zone_111,zone_623,0.0,24.98
3173,zone_111,zone_684,17.29,0.0
3174,zone_111,zone_695,0.0,13.58
3175,zone_111,zone_696,53.42,28.2
3176,zone_111,zone_698,0.0,15.21
3177,zone_111,zone_712,0.0,43.08
3178,zone_111,zone_722,0.0,34.67
3179,zone_111,zone_724,0.0,23.68
3335,zone_112,zone_109,0.0,0.0
3336,zone_112,zone_11,0.0,17.92
3337,zone_112,zone_110,0.0,21.29
3338,zone_112,zone_111,0.0,50.07
3339,zone_112,zone_113,0.0,30.21
3340,zone_112,zone_118,24.15,16.55
3341,zone_112,zone_12,36.81,0.0
3342,zone_112,zone_129,35.55,0.0
3343,zone_112,zone_160,0.0,34.68
3344,zone_112,zone_171,22.37,0.0
3345,zone_112,zone_190,28.83,0.0
3346,zone_112,zone_21,53.07,0.0
3347,zone_112,zone_229,0.0,94.05
3348,zone_112,zone_291,25.26,0.0
3349,zone_112,zone_34,21.56,0.0
3350,zone_112,zone_342,51.22,0.0
3351,zone_112,zone_43,18.27,0.0
3352,zone_112,zone_448,17.34,0.0
3353,zone_112,zone_50,51.86,0.0
3354,zone_112,zone_60,0.0,32.8
3355,zone_112,zone_605,48.64,0.0
3356,zone_112,zone_606,0.0,27.55
3357,zone_112,zone_610,0.0,36.09
3358,zone_112,zone_640,22.07,0.0
3359,zone_112,zone_670,0.0,35.82
3360,zone_112,zone_696,19.98,0.0
3361,zone_112,zone_709,30.89,0.0
