index,origin,destination,ac,tc,vp
0,zone_1,zone_278,0.0,0.0,33.34
1,zone_1,zone_298,0.0,0.0,38.72
2,zone_1,zone_352,0.0,0.0,22.77
3,zone_1,zone_513,0.0,0.0,19.06
4,zone_1,zone_565,0.0,0.0,31.61
5,zone_1,zone_658,0.0,0.0,37.22
6,zone_1,zone_71,0.0,0.0,30.58
7,zone_1,zone_840,0.0,0.0,57.6
8,zone_10,zone_20,12.97,0.0,0.0
9,zone_10,zone_34,33.67,0.0,0.0
10,zone_10,zone_41,0.0,33.52,0.0
11,zone_10,zone_49,0.0,35.67,0.0
12,zone_100,zone_154,0.0,23.01,0.0
13,zone_100,zone_236,101.47,0.0,0.0
14,zone_100,zone_24,0.0,37.76,0.0
15,zone_100,zone_34,0.0,12.14,0.0
16,zone_100,zone_391,0.0,17.49,0.0
17,zone_100,zone_396,43.23,0.0,0.0
18,zone_100,zone_421,0.0,0.0,15.0
19,zone_100,zone_5,0.0,78.18,0.0
20,zone_100,zone_50,40.96,0.0,0.0
21,zone_100,zone_650,0.0,36.77,0.0
22,zone_100,zone_71,0.0,0.0,45.8
23,zone_100,zone_75,0.0,85.39,0.0
24,zone_100,zone_92,38.85,0.0,0.0
25,zone_100,zone_96,0.0,0.0,20.06
26,zone_1000,zone_1001,0.0,0.0,40.57
27,zone_1000,zone_1003,0.0,0.0,38.73
28,zone_1000,zone_1004,0.0,0.0,49.74
29,zone_1000,zone_1006,0.0,0.0,33.87
30,zone_1000,zone_1008,0.0,0.0,30.4
31,zone_1000,zone_1022,0.0,16.14,0.0
32,zone_1000,zone_1023,0.0,0.0,35.16
33,zone_1000,zone_1030,0.0,0.0,35.85
34,zone_1000,zone_1043,0.0,0.0,19.87
35,zone_1000,zone_1049,0.0,0.0,23.2
36,zone_1000,zone_1053,0.0,37.93,0.0
37,zone_1000,zone_1071,0.0,0.0,42.9
38,zone_1000,zone_1090,0.0,0.0,25.33
39,zone_1000,zone_1100,0.0,0.0,17.6
40,zone_1000,zone_1105,0.0,61.21,56.14
41,zone_1000,zone_1106,0.0,0.0,25.28
42,zone_1000,zone_1115,0.0,27.05,0.0
43,zone_1000,zone_1120,0.0,0.0,17.67
44,zone_1000,zone_1121,0.0,0.0,30.17
45,zone_1000,zone_1131,0.0,77.12,0.0
46,zone_1000,zone_1419,0.0,0.0,20.76
47,zone_1000,zone_1469,0.0,0.0,37.13
48,zone_1000,zone_1490,0.0,0.0,18.13
49,zone_1000,zone_150,0.0,0.0,15.86
50,zone_1000,zone_1519,0.0,0.0,17.43
51,zone_1000,zone_1523,0.0,0.0,15.86
52,zone_1000,zone_1530,0.0,0.0,18.92
53,zone_1000,zone_1633,0.0,26.5,0.0
54,zone_1000,zone_1643,0.0,24.08,0.0
